2, Notice, Start Initializing
7, Notice, End Initializing
8, Notice, 0056 mA 7850 mV
10663, Sonar,70
10764, Sonar,70
10865, Sonar,70
10966, Sonar,70
11067, Sonar,70
11168, Sonar,70
11269, Sonar,70
11370, Sonar,70
11471, Sonar,70
11572, Sonar,70
11673, Sonar,70
11774, Sonar,70
11875, Sonar,70
11976, Sonar,70
12077, Sonar,70
12178, Sonar,70
12279, Sonar,255
12380, Sonar,255
12481, Sonar,255
12582, Sonar,255
12683, Sonar,255
12784, Sonar,255
12885, Sonar,255
12986, Sonar,255
13087, Sonar,255
13188, Sonar,255
13289, Sonar,255
13390, Sonar,255
13491, Sonar,255
13592, Sonar,255
13693, Sonar,255
13794, Sonar,255
13895, Sonar,255
13996, Sonar,255
14097, Sonar,255
14198, Sonar,255
14299, Sonar,255
14400, Sonar,255
14501, Sonar,255
14602, Sonar,255
14703, Sonar,255
14804, Sonar,255
14905, Sonar,255
15006, Sonar,255
15107, Sonar,255
15208, Sonar,255
15309, Sonar,255
15410, Sonar,68
15511, Sonar,68
15612, Sonar,69
15713, Sonar,66
15814, Sonar,66
15915, Sonar,67
16016, Sonar,68
16117, Sonar,69
16218, Sonar,74
16319, Sonar,74
16420, Sonar,74
16521, Sonar,74
16622, Sonar,74
16723, Sonar,74
16824, Sonar,74
16925, Sonar,74
17026, Sonar,74
17127, Sonar,74
17228, Sonar,74
17329, Sonar,74
17430, Sonar,74
17531, Sonar,74
17632, Sonar,74
17733, Sonar,74
17834, Sonar,74
17935, Sonar,74
18036, Sonar,74
18137, Sonar,74
18238, Sonar,74
18339, Sonar,74
18440, Sonar,74
18541, Sonar,74
18642, Sonar,74
18743, Sonar,74
18844, Sonar,74
18945, Sonar,74
19046, Sonar,74
19147, Sonar,74
19248, Sonar,74
19349, Sonar,255
19450, Sonar,255
19551, Sonar,255
19652, Sonar,255
19753, Sonar,255
19854, Sonar,255
19955, Sonar,255
20056, Sonar,255
20157, Sonar,255
20258, Sonar,255
20359, Sonar,255
20460, Sonar,255
20561, Sonar,255
20662, Sonar,255
20763, Sonar,255
20864, Sonar,255
20965, Sonar,255
21066, Sonar,255
21167, Sonar,255
21268, Sonar,255
21369, Sonar,255
21470, Sonar,255
21571, Sonar,255
21672, Sonar,255
21773, Sonar,255
21874, Sonar,255
21975, Sonar,255
22076, Sonar,255
22177, Sonar,255
22278, Sonar,255
22379, Sonar,255
22480, Sonar,68
22581, Sonar,67
22682, Sonar,67
22783, Sonar,67
22884, Sonar,66
22985, Sonar,67
23086, Sonar,69
23187, Sonar,68
23288, Sonar,71
23389, Sonar,71
23490, Sonar,71
23591, Sonar,71
23692, Sonar,71
23793, Sonar,71
23894, Sonar,71
23995, Sonar,71
24096, Sonar,71
24197, Sonar,71
24298, Sonar,71
24399, Sonar,71
24500, Sonar,71
24601, Sonar,71
24702, Sonar,71
24803, Sonar,71
24904, Sonar,71
25005, Sonar,71
25106, Sonar,71
25207, Sonar,71
25308, Sonar,71
25409, Sonar,71
25510, Sonar,71
25611, Sonar,71
25712, Sonar,71
